alpha logU dens met OH CII_1335 CIV_1551 HeII_1640 CIII_1909 Hbeta OIII_5007 Halpha NII_6583 CI_9850 SIII_9531 HeI_10830 PaGamma PII_1188 FeII_1257 PaBeta FeII_132 FeII_164 PaAlpha
-1.4 -1.0 4.0 0.01 8.369 6.401 574.75 528.001 222.558 100.0 1052.535 282.003 9.715 6.828 29.087 51.602 7.391 0.69 2.161 13.602 0.572 1.828 25.906
-1.4 -4.0 4.0 0.014 8.515 21.072 0.022 102.329 26.908 100.0 43.841 288.688 173.168 12.212 70.071 99.321 8.425 5.014 10.209 15.158 2.701 8.634 29.844
-1.4 -3.5 4.0 0.014 8.515 25.02 0.676 150.864 88.773 100.0 401.269 287.251 163.689 2.944 119.865 97.099 8.334 3.741 6.507 14.985 1.721 5.504 29.359
-1.4 -3.0 4.0 0.014 8.515 25.984 10.96 190.276 209.769 100.0 1181.718 284.662 101.882 0.624 161.489 96.391 8.292 2.452 4.112 14.866 1.088 3.478 28.993
-1.4 -2.0 4.0 0.014 8.515 18.621 285.13 288.185 412.015 100.0 1854.943 279.971 30.642 0.087 104.226 87.582 8.154 0.878 2.059 14.564 0.545 1.742 28.144
-1.4 -1.0 4.0 0.014 8.515 6.85 633.367 567.159 272.79 100.0 1186.464 282.155 18.3 13.148 41.193 46.522 7.443 0.973 3.069 13.665 0.812 2.596 26.062
-1.4 -4.0 4.0 0.02 8.67 23.71 0.025 113.443 31.636 100.0 58.567 286.488 308.157 16.851 91.781 123.538 8.524 6.683 13.23 15.271 3.5 11.19 30.085
-1.4 -3.5 4.0 0.02 8.67 28.359 0.703 163.858 98.957 100.0 516.218 284.791 287.391 4.07 158.114 123.012 8.464 5.005 8.317 15.134 2.2 7.034 29.682
-1.4 -3.0 4.0 0.02 8.67 29.387 10.517 204.476 217.323 100.0 1473.28 282.238 176.019 0.877 211.46 122.857 8.449 3.292 5.175 15.054 1.369 4.377 29.409
-1.4 -2.0 4.0 0.02 8.67 21.956 313.308 322.4 457.36 100.0 2345.526 278.657 52.887 0.165 142.389 110.741 8.3 1.209 2.648 14.756 0.7 2.24 28.58
-1.4 -1.0 4.0 0.02 8.67 8.545 809.493 685.09 362.634 100.0 1665.856 281.126 34.403 21.382 61.231 62.254 7.569 1.429 4.403 13.802 1.165 3.724 26.38
-1.4 -4.0 4.0 0.04 8.971 25.92 0.018 113.565 25.522 100.0 74.013 282.804 867.839 29.379 142.806 114.902 8.777 11.098 22.726 15.62 6.012 19.222 30.905
-1.4 -3.5 4.0 0.04 8.971 31.865 0.491 164.752 68.382 100.0 609.139 281.574 794.551 7.304 239.274 110.414 8.74 8.17 14.071 15.526 3.722 11.901 30.594
-1.4 -3.0 4.0 0.04 8.971 35.619 6.413 209.581 141.123 100.0 1753.879 279.827 489.92 1.708 319.198 107.585 8.722 5.318 8.452 15.46 2.236 7.149 30.361
-1.4 -2.0 4.0 0.04 8.971 29.866 306.63 372.418 451.627 100.0 3107.233 277.204 162.969 0.865 243.329 95.619 8.516 2.085 4.64 15.064 1.227 3.924 29.284
-1.4 -1.0 4.0 0.04 8.971 12.329 939.967 765.772 490.59 100.0 2111.552 280.823 138.087 52.114 120.643 51.284 7.754 2.542 8.252 14.026 2.183 6.98 26.964
-1.4 -4.0 4.0 0.06 9.147 26.986 0.014 111.404 14.363 100.0 68.672 282.074 1408.674 36.617 164.87 105.875 8.935 13.914 30.264 15.893 8.006 25.597 31.583
-1.4 -3.5 4.0 0.06 9.147 35.046 0.403 162.402 37.775 100.0 569.827 281.095 1298.504 9.403 275.644 100.84 8.897 10.19 18.716 15.801 4.951 15.83 31.277
-1.4 -3.0 4.0 0.06 9.147 42.152 4.861 210.249 85.998 100.0 1758.897 279.691 816.823 2.367 378.789 97.075 8.865 6.693 10.968 15.718 2.901 9.276 30.995
-1.4 -2.0 4.0 0.06 9.147 37.719 289.612 400.34 422.68 100.0 3494.354 277.017 297.046 2.206 322.73 85.593 8.621 2.752 6.333 15.242 1.675 5.356 29.705
-1.4 -1.0 4.0 0.06 9.147 15.921 1025.45 793.955 542.47 100.0 2412.958 280.302 301.536 77.821 177.488 47.004 7.891 3.373 11.553 14.198 3.056 9.771 27.411
